,train_name,train_number,source,destination,distance,total_time,departure,arrival
920,MUMBAI - HATIA LTT SF Exp,12811,LOKMANYA TILAK TERM,HATIA,1706,1 days 03:30:00,00:15:00,03:45:00
921,HATIA - MUMBAI LTT SF Exp,12812,HATIA,LOKMANYA TILAK TERM,1706,1 days 03:55:00,09:40:00,13:35:00
922,Steel Express,12813,HOWRAH JN,TATANAGAR JN,250,0 days 03:55:00,17:30:00,21:25:00
923,Steel Express,12814,TATANAGAR JN,HOWRAH JN,250,0 days 04:05:00,06:15:00,10:20:00
924,New Delhi-Puri Superfast Express,12816,NEW DELHI,PURI,1794,1 days 05:55:00,06:30:00,12:25:00
925,Jharkhand Swarna Jayanti SF Express,12817,HATIA,ANAND VIHAR TRM,1300,0 days 23:10:00,14:40:00,13:50:00
926,Jharkhand Swarna Jayanti Express,12818,ANAND VIHAR TRM,HATIA,1303,0 days 20:50:00,19:50:00,16:40:00
927,Orissa Sampark Kranti Express,12819,BHUBANESWAR,NEW DELHI,1799,1 days 05:10:00,15:40:00,20:50:00
928,Orissa Sampark Kranti Express,12820,NEW DELHI,BHUBANESWAR,1799,1 days 05:00:00,07:10:00,12:10:00
929,Dhauli Express,12821,HOWRAH JN,PURI,502,0 days 08:30:00,06:00:00,14:30:00
930,Dhauli Express,12822,PURI,HOWRAH JN,502,0 days 08:25:00,11:50:00,20:15:00
931,Howrah Purulia Express,12827,HOWRAH JN,PURULIA JN,323,0 days 05:30:00,16:50:00,22:20:00
932,Howrah Express,12828,PURULIA JN,HOWRAH JN,323,0 days 05:50:00,05:30:00,11:20:00
933,Chennai Bhubaneswar SF Express,12829,CHENNAI CENTRAL,BHUBANESWAR,1223,0 days 20:25:00,21:10:00,17:35:00
934,Bhubaneswar Chennai Superfast Express,12830,BHUBANESWAR,CHENNAI CENTRAL,1223,0 days 20:55:00,12:00:00,08:55:00
935,DHANBAD - BHUBANESWAR Garib Rath Exp,12831,DHANBAD JN,BHUBANESWAR,780,0 days 16:15:00,16:00:00,08:15:00
936,BHUBANESWAR - DHANBAD Garib Rath Exp,12832,BHUBANESWAR,DHANBAD JN,780,0 days 14:35:00,20:10:00,10:45:00
937,AHMEDABAD - HOWRAH SF EXP,12833,AHMEDABAD JN,HOWRAH JN,2087,1 days 13:35:00,23:55:00,13:30:00
938,HOWRAH - AHMEDABAD SF EXP,12834,HOWRAH JN,AHMEDABAD JN,2087,1 days 13:30:00,23:55:00,13:25:00
939,Chennai Beach Tambaram EMU(12 Car),40017,CHENNAI BEACH,TAMBARAM,33,0 days 00:55:00,08:05:00,09:00:00
940,Barhaj Bazar Bhatni Passenger,55104,Barhaj Bazar,BHATNI JN,0,0 days 01:25:00,19:55:00,21:20:00
941,Siwan Bhatni Passenger,55117,SIWAN JN,BHATNI JN,49,0 days 03:05:00,09:20:00,12:25:00
942,Bhatni Varanasi Passenger,55121,BHATNI JN,VARANASI JN,161,0 days 05:05:00,05:30:00,10:35:00
943,Manduadih Bhatni Passenger,55122,MANDUADIH,BHATNI JN,165,0 days 05:20:00,06:30:00,11:50:00
944,Varanasi City- Bhatni Passenger,55124,VARANASI CITY,BHATNI JN,158,0 days 05:45:00,14:00:00,19:45:00
945,VASCO DA GAMA - DELHI H NIZAMUDDIN Goa Exp,12779,VASCO DA GAMA,DELHI H NIZAMUDDIN,2202,1 days 15:05:00,15:10:00,06:15:00
946,H.Nizamuddin Hubli Goa Express Slip,12780-Slip,DELHI H NIZAMUDDIN,VASCO DA GAMA,2202,1 days 15:25:00,15:05:00,06:30:00
947,Mysore-Nizamuddin Swarna Jayanti Express,12781,MYSORE JN,DELHI H NIZAMUDDIN,2618,1 days 20:55:00,20:10:00,17:05:00
948,Bilaspur Tirunelveli SF Express,12787,BILASPUR JN,TIRUNELVELI,2493,1 days 20:55:00,08:10:00,05:05:00
949,Tirunelveli Bilaspur SF Express,12788,TIRUNELVELI,BILASPUR JN,2494,1 days 20:35:00,01:00:00,21:35:00
950,Purushottam SF Express,12801,PURI,NEW DELHI,1863,1 days 07:00:00,21:50:00,04:50:00
951,Swarna Jayanti Express,12804,DELHI H NIZAMUDDIN,VISHAKAPATNAM,2096,1 days 11:25:00,06:00:00,17:25:00
952,Samata Express,12807,VISHAKAPATNAM,DELHI H NIZAMUDDIN,1911,1 days 10:20:00,06:25:00,16:45:00
953,Samata Express,12808,DELHI H NIZAMUDDIN,VISHAKAPATNAM,1911,1 days 09:50:00,08:40:00,18:30:00
954,Puri New Delhi Superfast Express,12815,PURI,NEW DELHI,1804,1 days 06:05:00,10:55:00,17:00:00
955,Chhattisgarh Sampark Kranti Express,12823,DURG,DELHI H NIZAMUDDIN,1281,0 days 21:05:00,12:00:00,09:05:00
